,episode,missed,reward,sloth
0,0,19.0,-19794.0,-10294
1,1,17.0,-17070.0,-8570
2,2,16.0,-15979.0,-7979
3,3,13.0,-13220.0,-6720
4,4,20.0,-20324.0,-10324
5,5,13.0,-14444.0,-7944
6,6,15.0,-17281.0,-9781
7,7,19.0,-16952.0,-7452
8,8,17.0,-14805.0,-6305
9,9,18.0,-14515.0,-5515
10,10,16.0,-13723.0,-5723
11,11,8.0,-9892.0,-5892
12,12,6.0,-7656.0,-4656
13,13,9.0,-9411.0,-4911
14,14,4.0,-7430.0,-5430
15,15,5.0,-8198.0,-5698
16,16,7.0,-8966.0,-5466
17,17,7.0,-7802.0,-4302
18,18,8.0,-9117.0,-5117
19,19,5.0,-8491.0,-5991
20,20,14.0,-16934.0,-9934
21,21,4.0,-6360.0,-4360
