,episode,missed,reward,sloth
0,0,19.0,-18719.0,-9219
1,1,14.0,-14385.0,-7385
2,2,15.0,-14065.0,-6565
3,3,16.0,-13941.0,-5941
4,4,13.0,-12885.0,-6385
5,5,18.0,-17954.0,-8954
6,6,14.0,-13598.0,-6598
7,7,17.0,-16033.0,-7533
8,8,15.0,-13308.0,-5808
9,9,11.0,-12646.0,-7146
10,10,19.0,-16205.0,-6705
11,11,16.0,-15826.0,-7826
12,12,11.0,-13586.0,-8086
13,13,11.0,-14962.0,-9462
14,14,2.0,-6104.0,-5104
15,15,5.0,-7254.0,-4754
16,16,6.0,-7533.0,-4533
17,17,2.0,-5634.0,-4634
18,18,2.0,-7157.0,-6157
19,19,7.0,-9562.0,-6062
20,20,1.0,-4941.0,-4441
21,21,2.0,-6250.0,-5250
22,22,4.0,-7450.0,-5450
23,23,2.0,-5758.0,-4758
24,24,3.0,-7153.0,-5653
25,25,3.0,-7041.0,-5541
26,26,5.0,-8008.0,-5508
27,27,3.0,-7935.0,-6435
28,28,5.0,-7491.0,-4991
29,29,3.0,-7551.0,-6051
30,30,5.0,-7975.0,-5475
31,31,2.0,-6738.0,-5738
32,32,6.0,-7941.0,-4941
33,33,1.0,-6517.0,-6017
34,34,7.0,-10770.0,-7270
35,35,6.0,-7696.0,-4696
36,36,2.0,-5491.0,-4491
37,37,3.0,-6585.0,-5085
38,38,1.0,-6469.0,-5969
39,39,2.0,-6984.0,-5984
40,40,2.0,-6047.0,-5047
41,41,2.0,-6034.0,-5034
42,42,1.0,-5607.0,-5107
43,43,3.0,-7229.0,-5729
44,44,3.0,-7373.0,-5873
45,45,4.0,-8105.0,-6105
46,46,3.0,-7497.0,-5997
47,47,5.0,-8233.0,-5733
