,episode,missed,reward,sloth
0,0,12.0,-12152.0,-6152
1,1,12.0,-14666.0,-8666
2,2,14.0,-22458.0,-15458
3,3,10.0,-23879.0,-18879
4,4,14.0,-26980.0,-19980
5,5,14.0,-24399.0,-17399
6,6,11.0,-17175.0,-11675
7,7,15.0,-14408.0,-6908
8,8,16.0,-16956.0,-8956
9,9,14.0,-31440.0,-24440
10,10,12.0,-15745.0,-9745
11,11,15.0,-25309.0,-17809
12,12,14.0,-17753.0,-10753
13,13,16.0,-15189.0,-7189
14,14,15.0,-16145.0,-8645
15,15,18.0,-16066.0,-7066
16,16,14.0,-13507.0,-6507
17,17,16.0,-13964.0,-5964
18,18,15.0,-15759.0,-8259
19,19,17.0,-17398.0,-8898
20,20,16.0,-15888.0,-7888
21,21,13.0,-13256.0,-6756
22,22,18.0,-16312.0,-7312
23,23,15.0,-16045.0,-8545
24,24,18.0,-16177.0,-7177
25,25,14.0,-13947.0,-6947
26,26,18.0,-27456.0,-18456
27,27,16.0,-13045.0,-5045
28,28,16.0,-17154.0,-9154
29,29,13.0,-12784.0,-6284
30,30,9.0,-11454.0,-6954
31,31,12.0,-13680.0,-7680
32,32,14.0,-13720.0,-6720
33,33,10.0,-11502.0,-6502
34,34,15.0,-13797.0,-6297
35,35,10.0,-11285.0,-6285
36,36,13.0,-14344.0,-7844
37,37,13.0,-15694.0,-9194
38,38,11.0,-11174.0,-5674
39,39,15.0,-15537.0,-8037
40,40,13.0,-13301.0,-6801
41,41,14.0,-14886.0,-7886
42,42,10.0,-11368.0,-6368
43,43,15.0,-14018.0,-6518
44,44,14.0,-18442.0,-11442
45,45,14.0,-14235.0,-7235
46,46,16.0,-12979.0,-4979
47,47,16.0,-14360.0,-6360
48,48,12.0,-11754.0,-5754
49,49,12.0,-13452.0,-7452
50,50,16.0,-14643.0,-6643
51,51,13.0,-13244.0,-6744
52,52,13.0,-14677.0,-8177
53,53,17.0,-17369.0,-8869
54,54,13.0,-11765.0,-5265
55,55,16.0,-17816.0,-9816
56,56,10.0,-14771.0,-9771
57,57,12.0,-14187.0,-8187
58,58,11.0,-12722.0,-7222
59,59,10.0,-13405.0,-8405
60,60,13.0,-14892.0,-8392
61,61,15.0,-15374.0,-7874
62,62,13.0,-13774.0,-7274
63,63,13.0,-14130.0,-7630
64,64,11.0,-13694.0,-8194
65,65,10.0,-11693.0,-6693
66,66,10.0,-11200.0,-6200
67,67,10.0,-12643.0,-7643
68,68,13.0,-14677.0,-8177
69,69,12.0,-13062.0,-7062
70,70,11.0,-14706.0,-9206
71,71,15.0,-15517.0,-8017
72,72,14.0,-15380.0,-8380
73,73,16.0,-14768.0,-6768
74,74,12.0,-12280.0,-6280
75,75,13.0,-13163.0,-6663
76,76,15.0,-16216.0,-8716
77,77,13.0,-14810.0,-8310
78,78,16.0,-13538.0,-5538
79,79,15.0,-15684.0,-8184
80,80,12.0,-13335.0,-7335
81,81,15.0,-13789.0,-6289
82,82,14.0,-16525.0,-9525
83,83,16.0,-14516.0,-6516
84,84,15.0,-15978.0,-8478
85,85,10.0,-13082.0,-8082
86,86,17.0,-16113.0,-7613
87,87,14.0,-17563.0,-10563
88,88,14.0,-12375.0,-5375
89,89,16.0,-16410.0,-8410
90,90,15.0,-17920.0,-10420
91,91,13.0,-13952.0,-7452
92,92,12.0,-12700.0,-6700
93,93,12.0,-13054.0,-7054
94,94,13.0,-13651.0,-7151
95,95,12.0,-12284.0,-6284
96,96,16.0,-15560.0,-7560
97,97,12.0,-11678.0,-5678
98,98,20.0,-16793.0,-6793
99,99,12.0,-11684.0,-5684
100,100,14.0,-15873.0,-8873
101,101,12.0,-12613.0,-6613
102,102,15.0,-15864.0,-8364
103,103,16.0,-15367.0,-7367
104,104,12.0,-13029.0,-7029
105,105,17.0,-17053.0,-8553
106,106,7.0,-11556.0,-8056
107,107,11.0,-11130.0,-5630
108,108,11.0,-13676.0,-8176
109,109,19.0,-17599.0,-8099
110,110,15.0,-13263.0,-5763
111,111,14.0,-14708.0,-7708
112,112,16.0,-14337.0,-6337
113,113,15.0,-14923.0,-7423
114,114,14.0,-12468.0,-5468
115,115,13.0,-15196.0,-8696
116,116,14.0,-16988.0,-9988
117,117,15.0,-14527.0,-7027
118,118,18.0,-16275.0,-7275
119,119,17.0,-16038.0,-7538
120,120,18.0,-17820.0,-8820
121,121,19.0,-18431.0,-8931
122,122,20.0,-18149.0,-8149
123,123,16.0,-17340.0,-9340
124,124,14.0,-16357.0,-9357
125,125,16.0,-14004.0,-6004
126,126,16.0,-15255.0,-7255
127,127,17.0,-15438.0,-6938
128,128,16.0,-16109.0,-8109
129,129,16.0,-16427.0,-8427
130,130,12.0,-13089.0,-7089
131,131,14.0,-14151.0,-7151
132,132,13.0,-14338.0,-7838
133,133,18.0,-15540.0,-6540
134,134,18.0,-16282.0,-7282
135,135,16.0,-17172.0,-9172
136,136,16.0,-15964.0,-7964
137,137,7.0,-10614.0,-7114
138,138,14.0,-16107.0,-9107
139,139,13.0,-14899.0,-8399
140,140,16.0,-15315.0,-7315
141,141,13.0,-14611.0,-8111
142,142,15.0,-15629.0,-8129
143,143,13.0,-12477.0,-5977
144,144,16.0,-14383.0,-6383
145,145,10.0,-10135.0,-5135
146,146,16.0,-16432.0,-8432
147,147,11.0,-11316.0,-5816
148,148,17.0,-16905.0,-8405
149,149,11.0,-13178.0,-7678
