,episode,missed,reward,sloth
0,0,17.0,-19618.0,-11118
1,1,15.0,-16842.0,-9342
2,2,16.0,-18069.0,-10069
3,3,13.0,-13752.0,-7252
4,4,19.0,-16090.0,-6590
5,5,14.0,-18910.0,-11910
6,6,15.0,-18766.0,-11266
7,7,13.0,-13467.0,-6967
8,8,13.0,-17719.0,-11219
9,9,4.0,-7952.0,-5952
10,10,7.0,-8396.0,-4896
11,11,7.0,-8471.0,-4971
12,12,5.0,-7337.0,-4837
13,13,4.0,-8072.0,-6072
14,14,6.0,-7252.0,-4252
15,15,5.0,-7610.0,-5110
16,16,4.0,-7305.0,-5305
17,17,4.0,-8134.0,-6134
18,18,4.0,-7305.0,-5305
19,19,3.0,-6890.0,-5390
20,20,1.0,-5208.0,-4708
21,21,0.0,-4416.0,-4416
22,22,3.0,-6629.0,-5129
23,23,3.0,-5995.0,-4495
24,24,4.0,-6756.0,-4756
25,25,7.0,-9061.0,-5561
26,26,3.0,-7474.0,-5974
27,27,4.0,-7874.0,-5874
28,28,4.0,-6616.0,-4616
29,29,4.0,-7698.0,-5698
30,30,4.0,-6505.0,-4505
31,31,6.0,-10874.0,-7874
32,32,7.0,-8211.0,-4711
33,33,6.0,-7548.0,-4548
34,34,2.0,-5984.0,-4984
35,35,8.0,-9195.0,-5195
36,36,5.0,-8115.0,-5615
37,37,4.0,-7054.0,-5054
38,38,6.0,-7386.0,-4386
39,39,2.0,-6804.0,-5804
40,40,6.0,-8159.0,-5159
41,41,4.0,-7327.0,-5327
42,42,4.0,-7352.0,-5352
43,43,1.0,-5913.0,-5413
44,44,2.0,-5932.0,-4932
45,45,2.0,-6668.0,-5668
46,46,4.0,-7062.0,-5062
47,47,2.0,-6337.0,-5337
48,48,2.0,-6573.0,-5573
49,49,5.0,-7652.0,-5152
50,50,0.0,-5327.0,-5327
51,51,1.0,-5729.0,-5229
52,52,2.0,-6510.0,-5510
53,53,2.0,-6610.0,-5610
54,54,4.0,-10217.0,-8217
55,55,4.0,-8878.0,-6878
56,56,3.0,-5763.0,-4263
57,57,5.0,-7735.0,-5235
58,58,4.0,-6619.0,-4619
59,59,6.0,-7699.0,-4699
60,60,3.0,-6745.0,-5245
61,61,3.0,-6249.0,-4749
62,62,3.0,-7431.0,-5931
63,63,5.0,-7076.0,-4576
64,64,2.0,-6493.0,-5493
65,65,4.0,-7753.0,-5753
66,66,5.0,-6978.0,-4478
67,67,1.0,-5955.0,-5455
68,68,3.0,-7184.0,-5684
69,69,3.0,-6535.0,-5035
70,70,3.0,-6948.0,-5448
71,71,5.0,-7783.0,-5283
72,72,3.0,-5891.0,-4391
73,73,4.0,-10409.0,-8409
74,74,3.0,-6783.0,-5283
75,75,3.0,-7023.0,-5523
76,76,4.0,-6515.0,-4515
77,77,7.0,-8788.0,-5288
78,78,7.0,-8454.0,-4954
79,79,5.0,-7462.0,-4962
80,80,6.0,-8175.0,-5175
81,81,2.0,-6420.0,-5420
82,82,5.0,-7664.0,-5164
83,83,6.0,-7468.0,-4468
84,84,4.0,-6651.0,-4651
85,85,4.0,-8565.0,-6565
86,86,2.0,-6189.0,-5189
87,87,4.0,-6719.0,-4719
88,88,3.0,-6842.0,-5342
89,89,6.0,-8117.0,-5117
90,90,3.0,-6193.0,-4693
91,91,2.0,-5588.0,-4588
92,92,2.0,-6360.0,-5360
93,93,3.0,-6650.0,-5150
94,94,6.0,-9443.0,-6443
95,95,3.0,-5940.0,-4440
96,96,1.0,-5715.0,-5215
97,97,3.0,-6669.0,-5169
98,98,6.0,-8330.0,-5330
99,99,10.0,-10689.0,-5689
100,100,1.0,-5173.0,-4673
101,101,5.0,-7219.0,-4719
102,102,4.0,-7783.0,-5783
103,103,2.0,-7077.0,-6077
104,104,5.0,-8346.0,-5846
105,105,0.0,-6115.0,-6115
106,106,1.0,-5070.0,-4570
107,107,0.0,-5194.0,-5194
108,108,5.0,-7524.0,-5024
109,109,2.0,-5506.0,-4506
110,110,1.0,-5684.0,-5184
111,111,4.0,-6926.0,-4926
112,112,3.0,-6677.0,-5177
113,113,5.0,-7412.0,-4912
114,114,1.0,-5266.0,-4766
115,115,1.0,-6705.0,-6205
116,116,2.0,-6250.0,-5250
117,117,4.0,-7262.0,-5262
118,118,4.0,-7924.0,-5924
119,119,2.0,-6601.0,-5601
120,120,0.0,-4763.0,-4763
121,121,3.0,-6943.0,-5443
122,122,2.0,-6531.0,-5531
123,123,0.0,-4688.0,-4688
124,124,5.0,-8356.0,-5856
125,125,0.0,-5821.0,-5821
126,126,2.0,-6350.0,-5350
127,127,5.0,-7773.0,-5273
128,128,3.0,-6020.0,-4520
129,129,2.0,-5926.0,-4926
130,130,1.0,-5667.0,-5167
131,131,1.0,-5767.0,-5267
132,132,4.0,-10848.0,-8848
133,133,9.0,-9264.0,-4764
134,134,2.0,-5862.0,-4862
135,135,5.0,-7605.0,-5105
136,136,5.0,-7066.0,-4566
137,137,2.0,-5763.0,-4763
138,138,6.0,-8343.0,-5343
139,139,5.0,-7614.0,-5114
140,140,2.0,-6646.0,-5646
141,141,3.0,-7326.0,-5826
142,142,4.0,-6719.0,-4719
143,143,4.0,-7402.0,-5402
144,144,3.0,-7080.0,-5580
145,145,4.0,-7470.0,-5470
146,146,4.0,-7402.0,-5402
147,147,3.0,-6050.0,-4550
148,148,1.0,-4973.0,-4473
149,149,1.0,-5983.0,-5483
150,150,1.0,-5832.0,-5332
151,151,3.0,-6437.0,-4937
152,152,2.0,-7117.0,-6117
153,153,0.0,-5119.0,-5119
154,154,3.0,-7620.0,-6120
155,155,5.0,-7938.0,-5438
156,156,6.0,-8257.0,-5257
157,157,5.0,-8501.0,-6001
158,158,1.0,-5554.0,-5054
159,159,5.0,-7782.0,-5282
160,160,3.0,-5807.0,-4307
161,161,2.0,-6224.0,-5224
162,162,3.0,-6414.0,-4914
163,163,8.0,-8984.0,-4984
164,164,3.0,-7278.0,-5778
165,165,3.0,-6675.0,-5175
166,166,2.0,-6145.0,-5145
167,167,0.0,-5595.0,-5595
168,168,3.0,-6456.0,-4956
169,169,1.0,-5289.0,-4789
170,170,2.0,-6393.0,-5393
171,171,0.0,-4566.0,-4566
172,172,2.0,-7342.0,-6342
173,173,3.0,-6261.0,-4761
174,174,4.0,-10177.0,-8177
175,175,8.0,-9082.0,-5082
176,176,3.0,-8496.0,-6996
177,177,2.0,-6392.0,-5392
178,178,3.0,-5515.0,-4015
179,179,3.0,-6278.0,-4778
180,180,3.0,-6694.0,-5194
181,181,4.0,-6541.0,-4541
182,182,1.0,-6281.0,-5781
183,183,2.0,-5936.0,-4936
184,184,2.0,-5360.0,-4360
185,185,1.0,-5747.0,-5247
186,186,7.0,-12401.0,-8901
187,187,2.0,-5733.0,-4733
188,188,6.0,-7664.0,-4664
189,189,2.0,-5624.0,-4624
190,190,3.0,-6434.0,-4934
191,191,2.0,-6318.0,-5318
192,192,3.0,-6858.0,-5358
193,193,2.0,-5999.0,-4999
194,194,4.0,-7768.0,-5768
195,195,3.0,-7592.0,-6092
196,196,7.0,-8747.0,-5247
197,197,3.0,-6630.0,-5130
198,198,3.0,-6845.0,-5345
199,199,1.0,-5950.0,-5450
200,200,3.0,-6347.0,-4847
201,201,2.0,-7095.0,-6095
202,202,2.0,-5919.0,-4919
203,203,4.0,-7490.0,-5490
204,204,3.0,-6830.0,-5330
205,205,1.0,-6732.0,-6232
206,206,0.0,-5485.0,-5485
207,207,4.0,-6738.0,-4738
208,208,3.0,-6521.0,-5021
209,209,2.0,-6290.0,-5290
210,210,4.0,-6759.0,-4759
211,211,4.0,-6987.0,-4987
212,212,2.0,-7400.0,-6400
213,213,2.0,-6899.0,-5899
214,214,2.0,-6348.0,-5348
215,215,2.0,-6688.0,-5688
216,216,3.0,-6892.0,-5392
217,217,4.0,-7521.0,-5521
218,218,3.0,-11439.0,-9939
219,219,5.0,-7168.0,-4668
220,220,7.0,-7740.0,-4240
221,221,5.0,-7236.0,-4736
222,222,2.0,-6245.0,-5245
223,223,9.0,-10714.0,-6214
224,224,5.0,-8123.0,-5623
225,225,7.0,-7609.0,-4109
226,226,5.0,-6833.0,-4333
227,227,5.0,-7309.0,-4809
228,228,0.0,-5378.0,-5378
229,229,2.0,-6345.0,-5345
230,230,5.0,-9434.0,-6934
231,231,6.0,-7265.0,-4265
232,232,4.0,-6614.0,-4614
233,233,6.0,-10259.0,-7259
234,234,6.0,-7483.0,-4483
235,235,1.0,-5504.0,-5004
236,236,7.0,-9045.0,-5545
237,237,5.0,-7775.0,-5275
238,238,1.0,-5208.0,-4708
239,239,3.0,-7131.0,-5631
240,240,0.0,-5310.0,-5310
241,241,1.0,-5407.0,-4907
242,242,12.0,-18416.0,-12416
243,243,2.0,-6292.0,-5292
244,244,6.0,-8455.0,-5455
245,245,2.0,-7127.0,-6127
246,246,7.0,-8942.0,-5442
247,247,4.0,-6014.0,-4014
248,248,5.0,-7023.0,-4523
249,249,0.0,-4233.0,-4233
250,250,3.0,-6211.0,-4711
251,251,7.0,-8020.0,-4520
252,252,7.0,-8857.0,-5357
253,253,5.0,-8126.0,-5626
254,254,8.0,-9214.0,-5214
255,255,2.0,-6666.0,-5666
256,256,8.0,-9062.0,-5062
257,257,2.0,-5814.0,-4814
258,258,4.0,-6887.0,-4887
259,259,7.0,-8757.0,-5257
260,260,5.0,-8933.0,-6433
261,261,1.0,-4877.0,-4377
262,262,4.0,-6829.0,-4829
263,263,2.0,-7400.0,-6400
264,264,2.0,-6352.0,-5352
265,265,7.0,-8933.0,-5433
266,266,2.0,-5278.0,-4278
267,267,4.0,-6401.0,-4401
268,268,4.0,-7575.0,-5575
269,269,3.0,-9707.0,-8207
270,270,2.0,-6258.0,-5258
271,271,5.0,-8058.0,-5558
