,episode,missed,reward,sloth
0,0,12.0,-12152.0,-6152
1,1,12.0,-14666.0,-8666
2,2,14.0,-22458.0,-15458
3,3,10.0,-23879.0,-18879
4,4,14.0,-26980.0,-19980
5,5,14.0,-24399.0,-17399
6,6,11.0,-17175.0,-11675
7,7,15.0,-14408.0,-6908
8,8,16.0,-16956.0,-8956
9,9,14.0,-31440.0,-24440
10,10,12.0,-15745.0,-9745
11,11,15.0,-25309.0,-17809
12,12,14.0,-17753.0,-10753
13,13,16.0,-15189.0,-7189
14,14,15.0,-16145.0,-8645
15,15,18.0,-16066.0,-7066
16,16,14.0,-13507.0,-6507
17,17,16.0,-13964.0,-5964
18,18,15.0,-15759.0,-8259
19,19,17.0,-17398.0,-8898
20,20,16.0,-15888.0,-7888
21,21,13.0,-13256.0,-6756
22,22,18.0,-16312.0,-7312
23,23,15.0,-16045.0,-8545
24,24,18.0,-16177.0,-7177
25,25,14.0,-13947.0,-6947
26,26,18.0,-27456.0,-18456
27,27,16.0,-13045.0,-5045
28,28,16.0,-17154.0,-9154
29,29,13.0,-12784.0,-6284
30,30,9.0,-11454.0,-6954
31,31,12.0,-13680.0,-7680
32,32,14.0,-13720.0,-6720
33,33,10.0,-11502.0,-6502
34,34,15.0,-13797.0,-6297
35,35,10.0,-11285.0,-6285
36,36,13.0,-14344.0,-7844
37,37,13.0,-15694.0,-9194
38,38,11.0,-11174.0,-5674
39,39,15.0,-15537.0,-8037
40,40,13.0,-13301.0,-6801
41,41,14.0,-14886.0,-7886
42,42,10.0,-11368.0,-6368
43,43,15.0,-14018.0,-6518
44,44,14.0,-18442.0,-11442
45,45,14.0,-14235.0,-7235
46,46,16.0,-12979.0,-4979
47,47,16.0,-14360.0,-6360
48,48,12.0,-11754.0,-5754
49,49,12.0,-13452.0,-7452
50,50,16.0,-14643.0,-6643
51,51,13.0,-13244.0,-6744
52,52,13.0,-14677.0,-8177
53,53,17.0,-17369.0,-8869
54,54,13.0,-11765.0,-5265
55,55,16.0,-17816.0,-9816
56,56,10.0,-14771.0,-9771
57,57,12.0,-14187.0,-8187
